gene_name	count	amino_acid_length	length
ACAT1	3	427	26260
ACAT2	6	426	18784
ACBD3	6	528	42051
ACBD5	2	534	46913
ACBD6	5	282	227574
ACBD7	4	88	11253
ACCS	7	501	18297
ACCSL	4	568	11996
ACD	11	544	3298
ACE	29	1306	37025
ACE2	6	805	41115
ACER1	5	264	27487
ACER2	1	275	43093
ACER3	1	267	165930
ACHE	8	617	6979
ACIN1	130	1341	37050
ACLY	26	1101	52079
ACMSD	5	336	63487
ACO1	3	889	70149
ACO2	11	805	59864
ACOT1	10	421	6680
ACOT11	14	607	96935
ACOT12	15	555	64174
ACOT13	6	140	38030
ACOT2	24	483	8033
ACOT4	63	421	4790
ACOT6	2	207	8943
ACOT7	3	380	130122
ACOT8	9	319	15685
ACOT9	5	448	64222
ACOX1	8	660	37927
ACOX2	11	681	32183
ACOX3	22	700	74441
ACOXL	18	580	385649
ACP1	8	158	14143
ACP2	5	423	9604
ACP5	11	325	4348
ACP6	19	428	23146
ACPL2	2	480	66180
ACPP	17	418	50931
ACPT	12	426	4809
ACR	1	421	7138
ACRBP	10	543	9385
ACRC	15	691	35172
ACRV1	5	265	9601
ACSBG1	17	724	78220
ACSBG2	14	666	57854
ACSF2	5	640	48687
ACSF3	22	576	67471
ACSL1	42	698	71223
ACSL3	12	720	83705
ACSL4	1	711	109159
ACSL5	14	739	54362
ACSL6	7	722	205253
ACSM1	5	577	75653
ACSM2A	6	577	36208
ACSM2B	14	577	40201
ACSM3	11	586	187338
ACSM4	17	580	24440
ACSM5	19	579	31802
ACSS1	6	689	52748
ACSS2	9	714	55820
ACSS3	13	686	318939
ACTA1	1	377	2853
ACTA2	3	377	56316
ACTB	4	375	36633
ACTBL2	8	376	2790
ACTG1	7	375	13876
ACTG2	2	376	27551
ACTL10	1	245	2027
ACTL6B	12	426	13364
ACTL7A	6	435	1432
ACTL7B	4	415	2368
ACTL8	9	366	71750
ACTL9	1	416	1419
ACTN1	2	930	105297
ACTN2	10	894	78177
ACTN4	26	911	83934
ACTR10	1	417	34952
ACTR1A	6	376	23496
ACTR1B	5	376	8139
ACTR2	5	399	43500
ACTR3	3	418	72636
ACTR3B	2	418	95629
ACTR3C	3	221	79809
ACTR5	13	607	23749
ACTR6	3	396	42743
ACTR8	40	624	15136
ACTRT1	3	376	1439
ACTRT2	179	377	1419
ACTRT3	2	372	2974
ACVR1	9	509	139416
ACVR1B	15	546	45411
ACVR1C	3	493	102238
ACVR2A	11	513	86307
ACVR2B	3	512	39291
ACVRL1	3	517	16453
ACY1	9	498	14147
ACY3	6	319	8104
ACYP1	2	129	16262
ADA	1	363	32711
ADAD1	8	576	50836
ADAD2	16	665	6030
ADAL	3	355	23224
ADAM10	6	748	154774
ADAM11	9	769	22815
ADAM12	15	909	376074
ADAM15	30	863	12210
ADAM17	8	824	67306
ADAM18	7	739	145575
ADAM19	14	955	180241
ADAM2	17	735	94554
ADAM20	3	776	12657
ADAM21	19	722	7748
ADAM22	8	906	268746
ADAM23	9	832	177588
ADAM28	15	775	64978
ADAM29	339	820	148512
ADAM30	8	790	2962
ADAM32	7	787	177921
ADAM33	96	813	14281
ADAM7	19	776	86040
ADAM9	16	819	108275
ADAMDEC1	3	470	21728
ADAMTS1	7	967	9662
ADAMTS10	26	1103	30493
ADAMTS12	15	1594	368657
ADAMTS13	14	1427	45028
ADAMTS14	25	1226	89638
ADAMTS15	22	950	27663
ADAMTS16	23	1224	179974
ADAMTS17	24	1095	370416
ADAMTS18	302	1221	187301
ADAMTS19	56	1207	278418
ADAMTS2	36	1211	234579
ADAMTS3	22	1205	287830
ADAMTS4	10	837	14748
ADAMTS5	25	930	48601
ADAMTS6	22	1117	333184
ADAMTS7	29	1686	52228
ADAMTS8	157	889	24068
ADAMTS9	61	1935	172343
ADAMTSL1	51	1762	437056
ADAMTSL2	15	1060	43355
ADAMTSL3	17	1691	385756
ADAMTSL4	19	1097	11529
ADAMTSL5	11	481	8586
ADAP1	18	385	57503
ADAP2	3	387	52978
ADAR	8	1269	45937
ADARB1	13	741	152710
ADARB2	13	739	551597
ADAT1	4	502	26319
ADAT2	4	191	27841
ADAT3	10	367	8067
ADC	10	480	39426
ADCK1	14	523	134929
ADCK2	4	626	23108
ADCK3	4	647	90009
ADCK4	16	544	26678
ADCK5	563	580	20141
ADCY1	7	1119	148976
ADCY10	17	1610	104828
ADCY2	36	1091	433873
ADCY3	12	1144	100670
ADCY4	9	1077	16744
ADCY5	16	1261	167462
ADCY6	22	1168	22845
ADCY7	4	1080	71998
ADCY8	4	1251	262125
ADCY9	24	1353	162798
ADCYAP1	1	176	7229
ADCYAP1R1	7	524	59013
ADD1	9	768	86219
ADD2	7	726	160607
ADD3	6	706	139197
ADGB	20	1667	216497
ADH1A	1	375	14661
ADH1B	3	375	16437
ADH4	2	399	34141
ADH5	1	374	17820
ADH6	49	375	16899
ADH7	1	394	23476
ADHFE1	12	467	41416
ADI1	4	179	22375
ADIPOQ	4	244	15789
ADIPOR1	4	375	17749
ADK	2	362	558101
ADM	2	185	2717
ADM2	153	232	4884
ADM5	18	153	1911
ADNP	8	1102	42373
ADNP2	23	1131	38491
ADO	2	270	3722
ADORA1	6	326	76751
ADORA2A	4	412	24481
ADORA2B	54	332	30829
ADORA3	3	347	80614
ADPGK	3	496	34477
ADPRH	2	357	10677
ADPRHL1	19	354	31579
ADPRHL2	3	363	5057
ADPRM	2	342	13639
ADRA1A	1	475	119123
ADRA1B	2	520	55761
ADRA1D	24	572	28392
ADRA2A	29	465	3868
ADRA2C	108	462	2176
ADRB1	7	477	2861
ADRB2	3	413	2040
ADRB3	1	408	3967
ADRBK1	15	689	20146
ADRBK2	6	688	164445
ADRM1	18	407	6769
ADSL	14	498	43960
ADSS	5	456	43640
ADSSL1	7	500	23139
AEBP1	15	1158	10201
AEBP2	6	517	316756
AEN	15	327	10986
AES	1	264	10197
AFAP1	9	814	181212
AFAP1L1	12	768	69931
AFAP1L2	8	871	109932
AFF1	26	1218	206052
AFF2	12	1311	500048
AFF3	80	1251	596878
AFF4	15	1163	88255
AFG3L2	5	797	48370
AFM	4	599	22291
AFMID	6	308	20384
AFP	6	622	25036
AFTPH	16	937	68674
AGA	5	346	11733
AGAP1	36	1069	637711
AGAP2	9	1192	16960
AGAP3	398	911	58605
AGAP4	310	663	28281
AGAP5	65	686	23606
AGAP6	205	686	22181
AGAP7	50	663	22165
AGAP8	35	663	146640
AGBL2	17	904	55798
AGBL3	13	975	161456
AGBL4	6	503	1491058
AGBL5	14	886	28258
AGER	7	435	3356
AGFG1	1	584	89062
AGFG2	21	481	29008
AGGF1	11	714	35983
AGK	10	422	104055
AGL	27	1532	73939
AGMAT	11	352	12757
AGMO	16	445	361697
AGPAT1	1	283	9884
AGPAT2	37	278	14280
AGPAT3	3	376	121350
AGPAT5	10	364	51306
AGPAT6	4	456	47814
AGPAT9	5	434	69961
AGPHD1	4	373	0
AGPS	14	658	151192
AGR2	1	195	41622
AGR3	3	166	22582
AGRN	56	2045	35993
AGRP	3	132	1242
AGT	6	485	11774
AGTPBP1	20	1238	195489
AGTR1	1	359	45224
AGTR2	1	363	4250
AGTRAP	10	159	18718
AGXT	7	392	12023
AGXT2	10	514	49992
AGXT2L1	2	499	0
AGXT2L2	7	450	0
AHCTF1	27	2301	92880
AHCY	4	432	31534
AHCYL1	4	530	39049
AHCYL2	1	611	205188
AHDC1	33	1603	70396
AHI1	17	1196	214244
AHNAK	100	5890	122691
AHNAK2	1799	5795	41113
AHR	6	848	47530
AHRR	18	719	134115
AHSA1	3	338	11604
AHSA2	24	146	13785
AHSG	11	368	8395
AHSP	3	102	939
AICDA	49	198	10705
AIF1	1	161	1837
AIF1L	3	176	26676
AIFM1	5	613	36524
AIFM2	2	373	34711
AIFM3	8	605	16253
AIG1	1	245	279808
AIM1	28	1723	58596
AIM2	7	343	84612
AIMP1	3	336	33682
AIMP2	8	320	14589
AIP	3	330	8062
AIPL1	20	384	41506
AIRE	17	545	12810
AJAP1	15	411	137802
AJUBA	1	538	11468
AK1	1	210	11263
AK2	4	239	73012
AK3	1	187	30888
AK4	1	223	84596
AK5	13	562	277915
AK7	19	723	97316
AK8	7	479	153199
AKAP1	106	903	36257
AKAP10	2	662	74041
AKAP11	26	1901	51107
AKAP12	236	1782	118558
AKAP13	27	2817	368784
AKAP14	3	197	24879
AKAP17A	11	695	10921
AKAP2	27	1103	392023
AKAP3	38	853	33539
AKAP4	9	854	10250
AKAP5	3	427	9004
AKAP6	23	2319	502088
AKAP7	1	350	147869
AKAP8	14	692	26413
AKAP8L	8	646	39093
AKAP9	183	3911	169806
AKD1	10	1911	0
AKIP1	3	210	8945
AKIRIN1	2	192	14836
AKIRIN2	9	203	27137
AKNA	30	1439	60249
AKNAD1	10	836	147586
AKR1A1	4	325	19506
AKR1B1	3	316	16934
AKR1B10	3	316	13816
AKR1B15	6	344	30739
AKR1C1	21	323	90679
AKR1C2	10	323	30256
AKR1C3	5	323	72332
AKR1C4	8	323	23485
AKR1D1	7	326	115662
AKR1E2	55	320	61433
AKR7A2	10	359	8181
AKR7A3	3	331	6692
AKR7L	10	153	0
AKT1S1	1	276	9421
AKT2	11	481	55219
AKT3	4	479	362846
AKTIP	1	293	13371
AL035406.1	1	26	769
AL049836.1	1	304	0
AL121963.1	5	145	773
AL133373.1	6	148	2595
AL136376.1	1	113	10828
AL161784.1	3	59	6785
AL355312.1	3	148	0
AL441883.1	4	107	5398
AL583828.1	4	136	16902
ALAD	7	330	15016
ALAS1	17	640	16241
ALAS2	7	587	22009
ALB	3	609	24298
ALCAM	11	583	209991
ALDH16A1	22	802	17879
ALDH18A1	8	795	50767
ALDH1A1	3	501	179780
ALDH1A2	2	518	544443
ALDH1A3	4	512	38912
ALDH1B1	18	517	5997
ALDH1L1	12	912	94425
ALDH1L2	15	923	64787
ALDH2	8	517	43091
ALDH3A1	19	453	10959
ALDH3A2	8	508	29462
ALDH3B2	21	385	19038
ALDH4A1	17	563	31349
ALDH5A1	1	548	42355
ALDH6A1	19	535	27643
ALDH7A1	5	539	53577
ALDH8A1	8	487	32732
ALDH9A1	13	518	36647
ALDOA	7	418	17367
ALDOB	2	364	15245
ALDOC	5	364	4149
ALG1	11	464	53677
ALG10	4	473	7413
ALG10B	11	473	7404
ALG11	3	492	17266
ALG12	11	488	18229
ALG13	1	1137	94834
ALG14	5	216	98538
ALG1L	2	187	7764
ALG2	8	416	5530
ALG5	6	324	50486
ALG6	2	509	70972
ALG8	5	526	38724
ALG9	11	447	89385
ALKBH1	12	389	35616
ALKBH2	10	261	5440
ALKBH3	4	286	39455
ALKBH4	7	302	8638
ALKBH5	2	394	26876
ALKBH6	6	266	5119
ALKBH7	2	221	2598
ALKBH8	13	667	63020
ALLC	19	391	44476
ALMS1	388	4167	225034
ALOX12	9	663	14671
ALOX12B	4	701	15067
ALOX15	12	684	11392
ALOX15B	21	676	10117
ALOX5	9	674	71886
ALOXE3	12	867	23147
ALPI	5	528	3909
ALPK1	31	1244	157111
ALPK2	2163	2170	147710
ALPK3	14	1907	56802
ALPL	16	524	69047
ALPP	56	535	4355
ALPPL2	12	532	3871
ALS2	88	1657	80635
ALS2CL	24	953	24707
ALS2CR11	110	1820	131753
ALS2CR12	4	445	69127
ALS2CR8	13	725	0
ALX4	3	411	49722
ALYREF	5	264	3749
AMACR	3	394	21937
AMBN	123	447	15032
AMBP	6	352	18345
AMBRA1	9	1298	197711
AMD1	2	334	20943
AMDHD2	8	594	11065
AMELX	2	205	7348
AMELY	1	206	8109
AMER1	27	1135	20627
AMER2	32	671	10604
AMER3	17	861	12699
AMFR	3	643	64086
AMH	8	560	2764
AMHR2	5	573	7679
AMICA1	14	394	31354
AMIGO1	16	493	5563
AMIGO2	6	522	4244
AMIGO3	5	504	7082
AMMECR1	1	333	246047
AMMECR1L	2	310	24292
AMN	19	453	10940
AMN1	1	258	58037
AMOT	48	1084	66312
AMOTL1	18	956	170321
AMOTL2	19	837	19605
AMPD1	3	780	22520
AMPD2	24	879	15947
AMPD3	17	776	199266
AMPH	23	695	247862
AMT	8	403	5975
AMTN	3	209	14202
AMY1A	18	511	9261
AMY1B	19	511	9265
AMY1C	18	511	8284
AMY2A	7	511	8403
AMY2B	18	511	25719
AMZ1	13	498	95978
AMZ2	21	360	9582
ANAPC1	61	1944	118419
ANAPC10	3	185	131429
ANAPC11	1	196	10201
ANAPC13	1	74	9010
ANAPC15	1	190	6402
ANAPC16	4	110	19831
ANAPC2	14	822	13753
ANAPC4	6	809	41285
ANAPC5	5	755	91651
ANAPC7	12	599	30830
ANG	2	147	14794
ANGEL1	1	670	39001
ANGEL2	4	544	23644
ANGPT1	27	498	248562
ANGPT2	12	496	63758
ANGPT4	10	503	43681
ANGPTL1	8	491	21347
ANGPTL2	27	493	35551
ANGPTL3	8	460	8672
ANGPTL4	6	406	11084
ANGPTL5	16	388	25848
ANGPTL6	14	470	10458
ANGPTL7	3	346	6640
ANK1	47	1905	243541
ANK2	45	3957	565631
ANK3	70	4377	707192
ANKAR	13	1434	86903
ANKDD1A	10	522	46941
ANKFN1	7	1149	400701
ANKFY1	13	1211	100073
ANKH	5	492	166977
ANKHD1	20	2617	147764
ANKHD1-EIF4EBP3	20	2617	147661
ANKIB1	38	1089	155150
ANKK1	9	765	12627
ANKLE1	75	615	6001
ANKLE2	23	938	36220
ANKMY1	24	1030	89787
ANKMY2	5	441	46041
ANKRA2	3	313	13351
ANKRD1	9	319	9180
ANKRD10	10	420	36529
ANKRD11	70	2663	222931
ANKRD12	24	2062	149757
ANKRD13A	1	590	40577
ANKRD13B	10	626	24992
ANKRD13C	1	541	94146
ANKRD13D	7	605	13938
ANKRD16	5	361	28289
ANKRD17	65	2603	185422
ANKRD2	6	360	11443
ANKRD20A1	205	823	43079
ANKRD20A2	55	823	43107
ANKRD20A3	35	823	68578
ANKRD20A4	2056	823	43748
ANKRD22	1	191	29686
ANKRD23	7	305	33408
ANKRD24	18	1236	41460
ANKRD26	53	1726	108578
ANKRD27	12	1050	79590
ANKRD28	14	1086	192535
ANKRD29	10	301	63959
ANKRD30A	48	1460	258254
ANKRD32	39	1058	121089
ANKRD33	9	452	3704
ANKRD33B	9	494	85866
ANKRD34A	4	496	5138
ANKRD34B	8	514	13733
ANKRD35	37	1001	19285
ANKRD37	5	158	4607
ANKRD39	4	183	21484
ANKRD40	5	368	14734
ANKRD42	1	527	66955
ANKRD44	10	985	344156
ANKRD45	1	266	60301
ANKRD46	82	232	50032
ANKRD50	15	1429	48680
ANKRD52	23	1076	20584
ANKRD53	5	530	7116
ANKRD54	19	300	18472
ANKRD55	34	614	133679
ANKRD6	9	727	200664
ANKRD7	2	274	28058
ANKRD9	33	317	2957
ANKS1A	39	1134	202137
ANKS3	16	656	37866
ANKS4B	5	417	18764
ANKS6	44	872	65636
ANKZF1	38	726	6912
ANLN	11	1124	63985
ANO1	17	986	111226
ANO10	9	660	336735
ANO2	17	999	414363
ANO3	12	981	474006
ANO4	9	955	17042
ANO5	14	913	90181
ANO6	15	931	224417
ANO7	58	933	36868
ANO8	13	1232	11606
ANO9	11	782	24078
ANP32A	1	249	42362
ANP32B	1	251	32582
ANP32D	1	131	395
ANP32E	242	268	15719
ANPEP	36	967	30513
ANTXR1	11	564	236149
ANTXR2	18	489	224305
ANXA1	7	346	18636
ANXA10	5	324	95175
ANXA11	10	505	54683
ANXA13	11	357	56613
ANXA2	6	357	55749
ANXA3	6	323	58924
ANXA4	4	321	182039
ANXA5	129	320	29158
ANXA6	11	673	57170
ANXA7	13	488	38975
ANXA8L1	1	327	16110
ANXA9	5	345	13617
AOAH	12	663	211698
AOC2	17	756	6107
AOC3	33	763	6946
AOX1	18	1338	91196
AP000304.12	2	189	327642
AP000349.1	2	248	1678
AP000350.10	1	175	33035
AP001055.7	5	204	0
AP1AR	1	302	38310
AP1B1	10	949	95499
AP1G1	3	845	80191
AP1G2	17	785	8505
AP1M1	5	435	37771
AP1M2	2	425	14644
AP1S1	4	189	7199
AP1S3	9	164	86341
AP2A1	9	977	40145
AP2A2	9	940	87345
AP2B1	7	951	148371
AP2M1	5	460	9402
AP3B1	58	1094	294230
AP3B2	14	1101	50633
AP3D1	19	1215	63476
AP3M1	6	418	29297
AP3M2	3	418	18727
AP3S2	2	205	63743
AP4B1	10	739	10453
AP4E1	8	1137	97228
AP4M1	10	460	8796
AP4S1	3	159	68506
AP5M1	1	504	21170
AP5S1	5	200	4771
AP5Z1	13	807	18690
APAF1	18	1248	90285
APBA1	11	837	244776
APBA2	18	749	280889
APBA3	15	575	10880
APBB1	28	710	24289
APBB1IP	2	666	129600
APBB2	11	759	406687
APBB3	11	493	35484
APC2	31	2303	26943
APCDD1	24	514	35320
APCDD1L	7	512	56030
APCS	3	223	1040
APEH	5	737	9961
APEX1	22	318	2577
APEX2	10	518	8700
APH1A	1	265	4176
APH1B	2	257	33108
API5	4	524	32566
APIP	5	259	63405
APITD1	2	164	22051
APITD1-CORT	2	164	22051
APLF	60	511	163311
APLNR	8	380	3658
APLP1	13	651	11892
APLP2	223	763	74967
APMAP	5	416	30054
APOA1	4	267	2199
APOA1BP	3	288	2537
APOA4	5	396	2603
APOA5	3	366	3053
APOB	70	4563	42644
APOBEC1	3	236	16503
APOBEC3B	8	490	10457
APOBEC3C	1	190	6269
APOBEC3D	11	386	18913
APOBEC3F	7	373	13306
APOBEC3G	5	384	46824
APOBEC3H	368	200	6843
APOBEC4	6	367	6910
APOC2	1	101	3579
APOC3	1	117	3366
APOD	4	214	15503
APOE	2	317	3639
APOF	4	326	2254
APOH	6	345	44492
APOL1	10	414	14520
APOL2	4	449	13744
APOL3	12	402	25853
APOL5	3	433	11611
APOL6	6	343	20014
APOLD1	2	279	104058
APOM	1	188	5793
APOO	3	198	74587
APOOL	7	268	84237
APOPT1	25	206	44561
APP	12	770	290585
APPBP2	1	585	83060
APPL1	11	709	45731
APPL2	13	670	62942
APRT	1	180	2605
APTX	13	356	52562
AQP1	7	446	70417
AQP10	4	301	4235
AQP11	7	271	20964
AQP12A	14	307	6638
AQP12B	60	307	6488
AQP2	2	271	8140
AQP3	2	292	6457
AQP4	3	323	13780
AQP5	5	265	3811
AQP6	26	282	9945
AQP7	536	342	17878
AQP8	4	261	13209
AQP9	5	295	47742
AQPEP	19	990	65165
AQR	17	1485	114308
AR	109	920	185996
ARAF	1	606	10791
ARAP1	17	1450	108530
ARAP2	21	1704	296288
ARAP3	31	1544	28820
ARC	31	396	4428
ARCN1	3	552	30643
AREG	1	274	9875
ARF1	4	181	16551
ARF3	1	62	21828
ARFGAP1	7	414	17005
ARFGAP2	8	521	12828
ARFGAP3	4	516	61604
ARFGEF1	13	1849	170165
ARFGEF2	12	1785	114803
ARFIP1	2	373	138526
ARFIP2	2	341	5756
ARG1	8	330	11188
ARG2	9	354	31922
ARGFX	11	315	15930
ARGLU1	1	273	26491
ARHGAP1	5	439	23535
ARHGAP10	13	786	340717
ARHGAP11A	10	1023	24805
ARHGAP11B	8	267	148499
ARHGAP12	7	846	123377
ARHGAP15	12	475	676990
ARHGAP17	14	881	96281
ARHGAP18	6	663	134093
ARHGAP19	11	517	73417
ARHGAP20	9	1191	136146
ARHGAP21	11	1958	140059
ARHGAP22	7	714	210233
ARHGAP24	15	748	527556
ARHGAP25	10	646	147232
ARHGAP26	7	814	458627
ARHGAP27	1	889	40512
ARHGAP28	9	729	185998
ARHGAP29	9	1261	126080
ARHGAP30	29	1101	23024
ARHGAP31	11	1444	126341
ARHGAP32	16	2087	314264
ARHGAP33	60	1287	14290
ARHGAP35	18	1499	86401
ARHGAP36	43	547	31641
ARHGAP39	24	1114	156631
ARHGAP4	18	986	27631
ARHGAP44	8	818	202104
ARHGAP5	10	1502	83614
ARHGAP6	1	974	547582
ARHGAP8	11	643	160310
ARHGAP9	11	821	16559
ARHGDIB	1	201	19711
ARHGDIG	8	225	14277
ARHGEF1	10	968	24245
ARHGEF10	18	1369	134665
ARHGEF10L	18	1279	158039
ARHGEF11	13	1562	110530
ARHGEF12	25	1544	152858
ARHGEF15	21	841	12270
ARHGEF16	9	709	26687
ARHGEF17	36	2063	60802
ARHGEF18	18	1173	77364
ARHGEF19	19	802	14755
ARHGEF2	5	987	60231
ARHGEF25	130	619	9199
ARHGEF26	15	871	136824
ARHGEF28	25	1731	315835
ARHGEF3	8	558	351911
ARHGEF33	18	870	85569
ARHGEF37	22	675	83021
ARHGEF38	1	777	155473
ARHGEF39	1	335	16991
ARHGEF4	2	1014	210347
ARHGEF40	18	1519	19970
ARHGEF5	48	1597	25344
ARHGEF6	6	776	116541
ARHGEF7	7	803	191178
ARHGEF9	2	516	150579
ARID1B	50	2289	432850
ARID2	14	1835	178375
ARID3A	7	593	50158
ARID3B	15	560	56954
ARID3C	9	412	6728
ARID4A	6	1257	75502
ARID4B	5	1312	196585
ARID5A	4	594	15895
ARID5B	12	1188	195644
ARIH1	19	557	113025
ARIH2	1	493	67561
ARIH2OS	18	290	1597
ARL10	9	244	36395
ARL11	14	196	5573
ARL13B	17	428	75529
ARL14	3	192	1285
ARL14EP	2	260	15176
ARL16	1	197	2750
ARL17A	1	203	63016
ARL2BP	13	170	8506
ARL3	1	182	40676
ARL4A	2	200	4078
ARL4C	1	201	4012
ARL5B	4	179	22234
ARL5C	2	179	10590
ARL6IP1	5	203	10009
ARL6IP4	4	360	2849
ARL6IP5	3	188	21122
ARL6IP6	1	226	43360
ARL8A	1	186	11337
ARMC1	3	282	31748
ARMC12	14	367	12047
ARMC2	13	867	125567
ARMC3	19	872	109565
ARMC4	31	1044	223862
ARMC5	42	1030	9086
ARMC6	13	501	26179
ARMC7	4	198	20313
ARMC8	2	673	111122
ARMC9	6	665	176288
ARMCX1	1	453	4169
ARMCX2	7	632	4609
ARMCX3	3	379	5046
ARMCX5	6	558	4991
ARMCX6	1	300	2881
ARNT	8	789	67063
ARNT2	5	717	193586
ARNTL	2	626	110614
ARNTL2	2	636	90454
ARPC1A	3	370	62266
ARPC1B	5	372	20552
ARPC2	5	300	37262
ARPC3	4	178	15597
ARPC4-TTLL3	7	625	42319
ARPC5L	1	153	15594
ARPP21	11	813	155551
ARR3	3	388	13535
ARRB1	4	418	87647
ARRB2	16	430	11010
ARRDC1	8	433	9706
ARRDC2	11	407	12970
ARRDC3	2	414	14635
ARRDC4	6	418	54284
ARRDC5	6	342	12430
ARSA	2	509	5425
ARSB	5	533	208878
ARSD	675	593	25381
ARSE	10	614	33587
ARSF	13	590	71255
ARSG	12	525	163549
ARSH	39	562	26958
ARSI	23	569	42964
ARSJ	8	599	79443
ARSK	3	536	49990
ART1	11	327	19288
ART3	5	389	101618
ART4	2	314	17926
ART5	9	291	3813
ARTN	4	237	3921
ARV1	3	290	21614
ARVCF	15	962	46912
ARX	1	562	12254
AS3MT	5	375	32383
ASAH1	6	411	28560
ASAH2	1	780	65832
ASAH2B	1	165	77177
ASAP1	13	1129	391553
ASAP2	8	1006	198918
ASAP3	16	903	56005
ASB1	2	335	25508
ASB10	65	512	12134
ASB11	11	323	35725
ASB12	35	318	6435
ASB14	2	587	24335
ASB15	12	588	70887
ASB16	9	453	8636
ASB17	3	295	13558
ASB18	17	466	70957
ASB2	6	635	42638
ASB4	8	426	61788
ASB5	7	329	63898
ASB6	9	421	5273
ASB7	2	318	49171
ASB8	1	288	33425
ASB9	8	294	35179
ASCC1	6	400	120614
ASCC2	12	757	49674
ASCC3	31	2202	373178
ASCL1	56	236	2830
ASCL2	5	193	2457
ASCL3	2	181	5461
ASCL4	7	173	2259
ASGR1	3	291	6133
ASGR2	5	311	14378
ASH1L	90	2969	227539
ASH2L	6	628	38834
ASIC1	7	574	26063
ASIC2	5	563	1161878
ASIC3	11	549	4464
ASIC4	6	666	24602
ASIC5	1	505	36544
ASIP	3	132	74775
ASL	3	464	17760
ASMT	1	373	28080
ASMTL	3	621	50623
