chr	start	end
1	19017262	19019426
1	19026257	19028257
1	19028718	19030718
1	19165140	19168004
1	19179968	19182365
1	19182990	19187030
1	19198381	19201966
1	19202953	19205086
1	19227971	19229971
1	19234133	19236133
1	19246593	19248593
1	19403496	19405496
1	19413332	19416470
1	19418895	19420895
1	19422104	19424104
1	19427041	19429041
1	19430083	19434197
1	19438194	19440239
1	19440305	19443066
1	19445725	19449473
1	19450099	19452099
1	19452111	19454111
1	19464587	19466587
1	19467246	19469246
1	19469502	19471502
1	19472474	19475497
1	19476129	19479292
1	19483438	19485438
1	19486528	19488528
1	19490382	19495559
1	19496350	19498350
1	19499089	19501089
1	19502117	19506702
1	19510609	19512674
1	19517754	19521018
1	19523272	19526294
1	19527276	19529276
1	19545092	19547092
1	19548963	19551004
1	19556348	19558348
1	19562650	19567442
1	19567881	19571106
1	19581524	19586280
1	19592932	19598353
1	19599370	19601406
1	19608320	19610320
1	19611451	19613451
1	19614030	19616030
1	19629782	19631866
1	19632537	19636000
1	19637557	19639557
1	19643216	19645216
1	19651813	19653813
1	19654071	19656071
1	19922603	19924603
1	19980606	19982606
1	19982624	19984624
1	19991269	19993943
1	20004583	20006835
1	20008704	20010856
1	20026287	20028300
1	20065439	20068299
1	20071047	20074703
1	20081209	20083209
1	20096814	20098931
1	20106076	20108158
1	20139936	20142295
1	20219866	20221866
1	20232037	20234037
1	20245865	20247892
1	20303912	20306005
1	20416089	20418089
1	20441831	20443878
1	20470104	20472104
1	20473812	20475812
1	20516173	20518823
1	20809168	20811168
1	20826258	20828649
1	20828761	20830761
1	20879267	20881393
1	20930431	20932525
1	20959385	20961385
1	20963408	20967430
1	20970158	20972158
1	20974057	20978011
1	20978016	20982982
1	20986872	20988872
1	20990238	20992238
1	20997631	20999631
1	21008211	21010211
1	21010434	21012496
1	21015830	21017830
1	21030106	21032106
1	21035148	21037276
1	21043007	21045172
1	21047289	21049438
1	21049887	21055041
1	21070406	21073039
1	21093092	21095092
1	21132836	21134863
1	21136238	21138238
1	21143010	21145010
1	21179089	21181089
1	21185966	21187966
1	21190150	21192665
1	21211726	21213734
1	21230453	21232453
1	21267143	21269652
1	21275547	21277547
1	21545472	21547472
1	21561368	21563368
1	21570570	21572570
1	21581485	21583596
1	21604755	21606755
1	21770579	21772579
1	21794255	21800341
1	21800435	21802443
1	21803713	21810667
1	21886228	21888228
1	21888760	21891673
1	21893705	21895705
1	21899256	21905139
1	21928325	21930325
1	21935637	21939584
1	22015595	22017595
1	22032303	22034303
1	22055243	22057243
1	22077023	22079023
1	22083201	22085201
1	22141474	22143474
1	22302572	22305909
1	22306376	22308572
1	22309215	22311701
1	22312080	22314083
1	22331203	22334422
1	22416961	22418961
1	22445566	22447826
1	22455128	22457326
1	22815656	22817656
1	22827865	22829865
1	22833550	22836185
1	22838450	22840604
1	22842948	22844948
1	22901985	22903985
1	22914816	22916816
1	22919150	22926514
1	22926812	22929124
1	22964538	22966743
1	22972910	22974910
1	22984961	22988666
1	23110037	23112504
1	23188565	23192512
1	23207924	23209924
1	23218448	23220484
1	23221921	23223921
1	23232293	23234293
1	23235918	23238026
1	23345225	23347225
1	23356001	23358006
1	23404589	23409000
1	23416894	23421573
1	23518593	23521268
1	23635999	23638469
1	23639199	23641199
1	23687685	23689685
1	23742859	23744859
1	23750126	23752126
1	23755417	23757417
1	23758743	23764676
1	23766945	23770080
1	23778190	23780190
1	23809510	23811612
1	23835600	23837600
1	23841990	23843990
1	23884729	23886895
1	24018125	24023301
1	24076388	24083466
1	24085001	24087001
1	24111245	24113860
1	24119753	24125337
1	24136286	24138286
1	24139734	24141734
1	24150850	24152850
1	24179850	24182042
1	24188632	24190632
1	24191004	24193103
1	24193741	24195741
1	24200204	24202779
1	24287133	24289133
1	24382949	24384958
1	24386561	24390694
1	24393714	24395714
1	24399690	24401734
1	24406920	24410190
1	24416419	24418419
1	24418501	24420501
1	24432652	24436086
1	24446550	24449144
1	24468564	24470564
1	24483255	24486652
1	24494932	24497023
1	24662311	24664311
1	24665165	24667165
1	24668459	24672406
1	24686345	24688389
1	24699257	24701257
1	24709395	24711395
1	24745072	24747072
1	24767665	24769665
1	24770721	24772721
1	24781666	24783681
1	24794558	24796647
1	24860638	24862638
1	24926454	24928454
1	24931109	24933109
1	24974443	24976443
1	24978487	24980487
1	24980585	24982585
1	24992382	24994382
1	24994778	24996923
1	25227707	25229913
1	25253224	25255224
1	25290059	25292059
1	25557655	25559655
1	25568160	25570160
1	25610101	25612103
1	25626526	25628526
1	25628918	25630918
1	25647390	25649390
1	25665996	25667996
1	25668467	25670467
1	25677145	25679145
1	25714499	25716499
1	25717517	25719517
1	25746156	25748156
1	25779806	25781806
1	25784372	25786372
1	25814676	25816676
1	25816972	25818972
1	25888631	25890631
1	25892367	25894367
1	25943408	25945595
1	26074769	26076769
1	26130702	26132730
1	26134140	26137282
1	26141059	26143151
1	26152175	26154175
1	26155074	26157074
1	26160700	26162826
1	26162988	26164988
1	26188454	26191288
1	26226504	26228504
1	26229148	26231148
1	26309573	26311573
1	26348342	26350897
1	26354691	26358072
1	26360837	26362837
1	26364708	26367353
1	26368155	26372682
1	26379423	26381423
1	26382788	26385973
1	26386696	26388823
1	26391817	26393817
1	26487145	26489145
1	26495960	26497960
1	26506207	26508207
1	26509310	26511932
1	26513994	26518811
1	26523551	26528918
1	26580754	26583064
1	26600532	26604696
1	26606273	26611881
1	26623477	26625477
1	26645692	26647692
1	26687187	26692683
1	26736380	26738962
1	26750946	26752946
1	26771828	26775102
1	26783398	26785398
1	26862418	26864418
1	26871390	26874705
1	26880142	26882142
1	26884313	26886419
1	26898827	26900827
1	27119626	27122571
1	27123284	27125284
1	27152443	27154443
1	27157984	27159984
1	27176062	27178062
1	27179248	27181248
1	27188991	27190991
1	27209705	27213498
1	27215448	27217448
1	27218192	27221785
1	27223031	27225090
1	27225480	27227868
1	27237398	27241035
1	27276832	27279819
1	27331637	27334309
1	27425924	27430805
1	27435034	27437184
1	27439641	27441641
1	27617850	27623847
1	27626833	27628833
1	27629135	27631135
1	27631690	27633718
1	27656277	27658277
1	27660952	27662952
1	27672909	27674983
1	27675504	27677943
1	27678979	27687469
1	27688205	27693746
1	27694916	27698169
1	27698670	27701455
1	27705614	27707621
1	27707996	27709996
1	27719381	27722154
1	27735223	27737223
1	27738150	27740150
1	27743825	27745825
1	27873042	27879527
1	27947131	27949131
1	27949303	27951425
1	27994804	27996804
1	28127316	28129316
1	28137763	28139763
1	28145227	28147227
1	28164254	28166287
1	28175708	28177708
1	28207669	28210268
1	28210893	28212893
1	28217754	28219754
1	28270804	28272804
1	28278854	28280854
1	28281354	28283573
1	28284037	28287666
1	28289155	28291155
1	28292189	28294529
1	28314089	28316089
1	28319010	28321020
1	28336578	28338578
1	28338764	28340764
1	28342710	28344710
1	28361097	28363097
1	28476046	28478347
1	28526842	28528842
1	28563361	28565449
1	28594709	28596709
1	28597800	28600983
1	28604653	28606653
1	28660322	28662322
1	28763898	28765898
1	28791337	28793337
1	28799169	28801575
1	28801773	28803773
1	28806097	28808097
1	28814736	28816736
1	28855391	28857391
1	28861781	28865448
1	28879201	28881201
1	28886225	28888225
1	28890260	28892260
1	28903013	28905013
1	28919429	28921516
1	28930901	28932901
1	29009147	29011232
1	29015673	29019206
1	29062648	29064648
1	29068431	29070781
1	29184716	29186716
1	29188642	29190765
1	29313067	29315067
1	29318841	29320902
1	29341245	29343245
1	29343829	29345829
1	29378662	29380775
1	29384153	29386153
1	29437907	29439907
1	29474297	29476727
1	29526028	29529541
1	29532411	29534411
1	29580894	29582895
1	29585062	29587541
1	29601095	29603095
1	29604544	29607645
1	29608217	29610327
1	29637016	29639016
1	29640914	29643654
1	29648892	29652739
1	31187841	31190662
1	31205746	31207746
1	31213495	31215495
1	31229536	31231540
1	31346148	31348196
1	31348602	31350871
1	31408528	31410637
1	31422103	31424103
1	31424125	31427748
1	31439017	31441065
1	31446554	31448598
1	31531060	31533060
1	31654414	31657865
1	31659899	31661899
1	31741015	31743015
1	31768528	31770537
1	31809072	31811072
1	31837755	31841339
1	31844864	31846864
1	31895566	31900592
1	31900860	31903357
1	31904840	31906950
1	32041989	32045865
1	32047774	32049774
1	32089654	32091654
1	32099868	32101868
1	32119423	32123649
1	32125672	32129207
1	32130194	32134177
1	32136223	32138223
1	32139621	32141895
1	32147555	32149576
1	32153509	32156422
1	32157695	32159695
1	32162508	32164672
1	32166741	32168758
1	32192063	32194063
1	32195962	32199733
1	32200439	32203227
1	32203956	32208794
1	32220830	32223303
1	32255323	32257802
1	32258775	32260775
1	32262853	32267087
1	32279203	32281627
1	32380592	32382592
1	32478669	32480944
1	32494991	32496991
1	32502526	32504526
1	32539673	32541673
1	32556361	32558361
1	32559522	32561522
1	32567097	32569097
1	32619198	32621254
1	32622919	32624919
1	32626650	32629006
1	32652560	32654560
1	32654671	32656763
1	32656963	32658963
1	32659784	32661784
1	32666626	32668626
1	32668791	32679184
1	32679494	32681494
1	32686616	32688616
1	32739366	32743268
1	32750236	32752246
1	32767231	32769231
1	32791640	32802566
1	32828290	32830822
1	32833137	32835137
1	32840989	32843152
1	32845829	32847865
1	32848632	32850632
1	32858734	32860734
1	32945670	32947670
1	32949777	32951777
1	33059722	33061722
1	33064830	33066830
1	33115103	33117103
1	33137412	33139412
1	33160113	33162113
1	33233270	33238848
1	33244085	33246798
1	33247032	33249032
1	33250989	33252989
1	33271108	33273108
1	33290787	33292938
1	33332966	33334966
1	33353751	33355832
1	33362735	33364735
1	33401509	33403893
1	33406904	33408904
1	33429050	33431213
1	33477860	33479899
1	33486277	33488277
1	33546930	33548930
1	33556682	33558820
1	33562720	33564720
1	33582572	33584674
1	33612091	33614091
1	33624450	33626490
1	33741068	33743098
1	33744795	33748184
1	33789593	33791593
1	33819090	33821621
1	33831765	33833852
1	33835101	33838982
1	33944011	33946259
1	33953157	33961696
1	33984191	33986500
1	33987960	33989960
1	33998455	34000455
1	34005182	34007182
1	34010679	34012812
1	34014890	34016890
1	34032193	34036036
1	34036231	34038231
1	34048296	34050296
1	34065506	34069136
1	34075667	34077667
1	34079207	34081207
1	34082221	34084221
1	34099814	34103092
1	34122733	34124733
1	34163374	34165374
1	34179371	34181371
1	34188831	34190831
1	34203814	34205829
1	34237304	34239304
1	34253273	34255273
1	34284335	34287157
1	34382771	34384771
1	34400554	34402554
1	34553724	34555724
1	34630370	34632370
1	34666694	34668802
1	35222409	35224744
1	35225949	35228397
1	35249493	35251735
1	35258910	35261618
1	35330754	35332754
1	35333393	35335651
1	35350706	35352797
1	35369008	35371947
1	35452213	35454715
1	35485072	35487072
1	35495159	35497231
1	35558665	35560666
1	35576432	35581696
1	35653804	35658863
1	35823639	35825663
1	35834969	35836977
1	35869671	35871671
1	35880239	35882239
1	35884115	35886115
1	35914474	35916492
1	35919055	35921055
1	35927310	35929310
1	35971249	35973529
1	36019085	36021085
1	36024923	36029146
1	36030214	36032214
1	36054639	36057338
1	36059035	36061035
1	36067872	36069872
1	36073866	36075866
1	36105966	36107966
1	36202659	36205157
1	36212640	36217979
1	36234452	36236452
1	36296433	36298752
1	36305879	36308030
1	36366545	36368856
1	36380038	36382038
1	36384157	36386157
1	36473628	36475628
1	36498817	36500817
1	36519579	36521579
1	36549868	36555519
1	36556394	36559717
1	36562518	36566039
1	36635672	36639989
1	36640963	36644701
1	36747260	36749260
1	36751660	36753794
1	36756039	36758039
1	36766177	36768177
1	36768406	36770406
1	36784343	36789100
1	36806445	36810037
1	36825908	36827908
1	36858424	36860677
1	36882847	36884847
1	36886811	36888811
1	36897185	36899185
1	36903481	36905481
1	36914928	36916928
1	36920812	36922845
1	36926727	36928727
1	36931047	36934779
1	36936099	36938099
1	36938140	36940140
1	37269795	37271795
1	37284454	37286454
1	37318269	37320270
1	37946368	37949924
1	37966441	37968441
1	37978134	37980134
1	38002382	38004382
1	38004763	38007163
1	38018751	38020751
1	38022338	38026038
1	38031584	38035497
1	38039410	38041410
1	38048499	38050499
1	38081327	38083327
1	38154287	38156401
1	38157367	38159367
1	38183428	38186238
1	38187820	38189820
1	38226136	38228708
1	38259117	38261117
1	38264764	38266787
1	38269108	38271108
1	38272700	38274700
1	38287270	38290400
1	38304746	38306746
1	38331189	38333189
1	38337771	38340756
1	38342985	38344985
1	38351664	38354074
1	38434268	38436268
1	38441558	38445658
1	38448924	38451406
1	38454574	38456574
1	38462148	38465690
1	38477503	38479503
1	38483974	38486007
1	38510120	38513335
1	39316396	39318396
1	39320474	39323745
1	39339747	39342075
1	39383638	39385826
1	39456181	39458267
1	39549004	39551004
1	39714702	39716702
1	39751963	39753963
1	39757439	39759439
1	39760463	39764362
1	39781948	39783954
1	39787295	39789295
1	39797872	39802515
1	39805541	39807541
1	39817803	39819803
1	39822094	39824365
1	39825544	39828311
1	39837200	39839200
1	39850112	39852112
1	39852145	39854687
1	39892177	39894675
1	39900388	39902388
1	39902464	39909475
1	39915857	39919450
1	39923166	39925765
1	39933310	39935347
1	39944661	39946661
1	39950304	39952304
1	39956669	39958669
1	39990356	39992416
1	40026790	40028790
1	40029856	40031857
1	40033615	40036290
1	40040576	40042576
1	40091769	40093769
1	40094948	40096948
1	40097350	40099350
1	40124111	40127930
1	40148754	40150762
1	40213752	40215752
1	40225135	40227135
1	40227857	40230436
1	40234561	40237015
1	40252834	40255099
1	40312324	40314324
1	40317462	40319462
1	40322027	40324027
1	40348138	40350138
1	40362086	40364479
1	40365549	40367975
1	40429938	40431938
1	40526408	40528408
1	40532303	40534303
1	40534461	40536490
1	40538852	40540852
1	40545155	40547155
1	40561792	40563792
1	40626147	40628187
1	40660318	40662318
1	40701215	40703215
1	40703516	40706927
1	40716170	40718238
1	40725545	40727562
1	40732512	40735117
1	40746031	40748058
1	40755586	40757586
1	40765865	40769483
1	40770433	40772827
1	40777149	40779149
1	40871412	40873412
1	40877720	40879720
1	40927552	40930087
1	40954272	40956272
1	40959798	40962562
1	40979715	40982245
1	41005286	41007286
1	41011272	41014073
1	41093496	41095496
1	41097840	41099840
1	41106564	41108564
1	41222822	41224822
1	41248867	41250915
1	41282868	41284874
1	41288826	41290826
1	41297690	41299690
1	41299753	41301753
1	41326361	41328746
1	41452061	41454061
1	41455888	41457888
1	41460655	41462655
1	41480791	41484755
1	41484981	41487274
1	41492983	41494983
1	41498677	41500677
1	41502044	41504044
1	41511257	41513257
1	41607664	41609763
1	41945786	41949173
1	41949274	41951275
1	41975129	41980349
1	41989468	41991468
1	42044432	42051090
1	42618189	42621474
1	42629323	42631323
1	42656194	42658377
1	42874719	42876719
1	42895516	42897516
1	42901098	42903142
1	42921310	42923310
1	42924332	42926423
1	43021078	43023079
1	43041859	43043859
1	43054036	43056036
1	43160877	43162928
1	43165535	43167625
1	43211479	43214053
1	43214853	43216853
1	43217010	43219010
1	43222597	43225633
1	43232021	43234021
1	43240038	43242038
1	43295183	43297605
1	43303593	43306952
1	43307444	43309451
1	43315940	43317940
1	43395396	43397396
1	43407968	43409968
1	43620956	43622956
1	43633619	43635619
1	43636156	43638162
1	43646424	43648429
1	43664062	43666118
1	43674691	43676692
1	43765756	43767756
1	43769525	43771626
1	43771834	43776114
1	43776418	43778418
1	43778591	43780591
1	43823996	43827633
1	43827747	43830586
1	43889811	43892563
1	43894417	43899433
1	43899973	43903866
1	43904347	43910344
1	43910581	43914909
1	43915003	43920081
1	44034374	44036374
1	44053424	44055424
1	44057232	44059232
1	44063395	44065395
1	44068663	44072273
1	44083337	44087665
1	44120415	44122415
1	44127720	44129720
1	44133887	44135887
1	44136175	44138175
1	44156180	44158180
1	44159547	44161547
1	44168691	44170691
1	44289546	44291546
1	44359114	44361114
1	44363840	44366326
1	44400862	44403404
1	44414586	44416726
1	44422079	44424079
1	44424929	44426929
1	44431686	44433686
1	44436255	44439171
1	44441731	44443731
1	44445845	44448579
1	44449686	44451686
1	44457193	44459193
1	44460615	44464310
1	44465533	44468202
1	44473098	44475098
1	44476251	44478287
1	44583585	44585638
1	44594525	44597382
1	44679474	44681474
1	44683006	44687238
1	44803865	44805865
1	44819595	44821679
1	44876853	44878853
1	45078863	45080863
1	45091041	45093041
1	45109690	45111690
1	45115393	45117393
1	45119366	45121722
1	45139038	45141038
1	45222806	45229257
1	45231516	45233516
1	45249382	45251900
1	45252066	45254110
1	45265146	45268302
1	45271201	45273215
1	45287745	45289745
1	45291937	45296296
1	45296920	45298920
1	45340360	45342360
1	45344632	45346632
1	45468409	45470409
1	45470723	45472789
1	45474881	45477592
1	45477688	45482061
1	45483617	45485768
1	45499046	45502785
1	45507935	45509935
1	45515840	45517840
1	45523415	45526815
1	45670599	45672847
1	45792452	45796084
1	45796139	45799461
1	45804905	45814587
1	45820037	45822037
1	45886466	45888466
1	45922275	45924405
1	45972216	45975857
1	45976046	45978046
1	45979631	45982416
1	46031544	46036599
1	46072109	46074895
1	46078998	46083313
1	46085474	46088124
1	46088540	46090540
1	46093038	46095038
1	46098794	46100794
1	46119884	46121884
1	46155748	46157748
1	46158006	46160006
1	46210793	46212923
1	46294147	46296147
1	46470919	46472919
1	46494530	46502450
1	46526598	46528598
1	46648895	46652182
1	46654020	46657456
1	46661456	46663456
1	46684433	46686793
1	46713264	46715264
1	46725691	46728054
